"player","timePeriod","team","dbin","dbout"
"http://dbpedia.org/resource/Antonio_Lang","http://dbpedia.org/resource/Antonio_Lang__2","http://dbpedia.org/resource/Cleveland_Cavaliers","30","100"
"http://dbpedia.org/resource/Antonio_Lang","http://dbpedia.org/resource/Antonio_Lang__5","http://dbpedia.org/resource/Cleveland_Cavaliers","30","100"
"http://dbpedia.org/resource/Chris_Quinn","http://dbpedia.org/resource/Chris_Quinn__6","http://dbpedia.org/resource/Oklahoma_City_Blue","29","105"
"http://dbpedia.org/resource/Chris_Quinn","http://dbpedia.org/resource/Chris_Quinn__7","http://dbpedia.org/resource/Cleveland_Cavaliers","29","105"
"http://dbpedia.org/resource/Lance_Thomas","http://dbpedia.org/resource/Lance_Thomas__6","http://dbpedia.org/resource/Oklahoma_City_Thunder","30","90"
"http://dbpedia.org/resource/Bill_Chamberlain","http://dbpedia.org/resource/Bill_Chamberlain__2","http://dbpedia.org/resource/Kentucky_Colonels","17","47"
"http://dbpedia.org/resource/José_Juan_Barea","http://dbpedia.org/resource/José_Juan_Barea__4","http://dbpedia.org/resource/Fort_Worth_Flyers","95","175"
"http://dbpedia.org/resource/Ryan_Hollins","http://dbpedia.org/resource/Ryan_Hollins__2","http://dbpedia.org/resource/Fort_Worth_Flyers","45","98"
"http://dbpedia.org/resource/Ryan_Hollins","http://dbpedia.org/resource/Ryan_Hollins__5","http://dbpedia.org/resource/Cleveland_Cavaliers","45","98"
"http://dbpedia.org/resource/Spencer_Hawes","http://dbpedia.org/resource/Spencer_Hawes__3","http://dbpedia.org/resource/Cleveland_Cavaliers","37","93"
"http://dbpedia.org/resource/Gerald_Madkins","http://dbpedia.org/resource/Gerald_Madkins__2","http://dbpedia.org/resource/Cleveland_Cavaliers","6","55"
"http://dbpedia.org/resource/James_Harden","http://dbpedia.org/resource/James_Harden__1","http://dbpedia.org/resource/Oklahoma_City_Thunder","93","160"
"http://dbpedia.org/resource/Seth_Curry","http://dbpedia.org/resource/Seth_Curry__3","http://dbpedia.org/resource/Cleveland_Cavaliers","21","54"
"http://dbpedia.org/resource/Noah_Vonleh","http://dbpedia.org/resource/Noah_Vonleh__2","http://dbpedia.org/resource/Fort_Wayne_Mad_Ants","-1","-1"
